Entity,Code,Schizophrenia_percent,Depression_percent,Anxiety_percent,Bipolar_percent,Eating_percent,Total_disorder_percent,GDP_per_capita,Population_density,Political_regime_score,Annual_sunshine,CO2_emissions
Afghanistan,AFG,0.21777739,4.945168,4.8510346,0.6996446,0.117413975,10.831038564999998,2079.9219,57.90825169,1,3175.1,0.2975636505
Albania,ALB,0.2875006,2.4602032,3.8375373,0.5420086,0.1366484,7.2638981,13655.665,104.1675547,1,2544.0,1.749462457
Algeria,DZA,0.24913543,4.1296806,4.771976,0.7562755,0.2106033,10.117670830000002,11627.28,17.93031568,1,3266.5,3.994401828
Angola,AGO,0.21982822,5.7441936,3.9340954,0.5538995,0.13675597,10.58877269,6602.424,25.95138205,1,2341.0,0.7536382054
Argentina,ARG,0.31154236,2.4075098,4.982973,1.039092,0.33220056,9.07331772,22071.748,16.42082662,2,2220.3,3.742029812
Armenia,ARM,0.28262022,2.9836516,3.1505976,0.541465,0.12600231,7.0843367299999995,14317.553,99.07277836,2,2474.0,2.196552367
Australia,AUS,0.3886459,4.382458,5.8151646,1.1250612,1.0316882,12.743017899999998,49379.094,3.294351419,3,2843.566666666666,15.59572675
Austria,AUT,0.27674544,3.125201,6.0064344,0.90043485,0.5622296,10.87104529,55806.438,107.6093068,3,1884.0,7.263331201
Azerbaijan,AZE,0.2827107,2.7526312,2.4775383,0.52214134,0.1438001,6.17882164,14442.041,121.2800711,1,2207.4,3.54349533
Bangladesh,BGD,0.27618745,4.6198096,3.1809232,0.38930306,0.11529978,8.581523090000001,5467.208,1271.538926,1,2066.0,0.5597336556
Belarus,BLR,0.2773241,3.824539,3.4831994,0.5208894,0.1341819,8.2401338,19279.209,46.41075062,1,1807.0,6.12342695
Belgium,BEL,0.27416807,3.5420222,5.04724,0.90031374,0.4368189,10.20056291,51977.184,379.4247028,3,1546.0,8.093790746
Benin,BEN,0.21354277,4.447893,3.2288494,0.5455701,0.099465676,8.535320946,3156.439,108.9964881,1,2630.4666666666667,0.6082367732
Bolivia,BOL,0.2665534,3.3994322,5.7405457,0.88712376,0.23742174,10.5310768,8528.749,10.87170221,0,2288.9,1.853461506
Bosnia and Herzegovina,BIH,0.2866613,2.7624497,3.5371947,0.5489406,0.13697994,7.27222624,14634.738,65.63888672,2,1769.0,6.285663956
Botswana,BWA,0.22516066,4.2572603,3.5533912,0.54089737,0.17784883,8.75455836,15117.995,4.410745858,3,3426.6666666666665,2.879663256
Brazil,BRA,0.27764335,3.8015563,7.410114,1.1118531,0.23241082,12.83357757,14685.128,25.33851766,2,2237.581818181818,2.050770129
Bulgaria,BGR,0.28809503,2.6916606,3.3973696,0.46639755,0.15696159,7.000484370000001,23270.225,64.25719418,2,2177.0,5.613710103
Burkina Faso,BFA,0.20788535,4.378302,3.116734,0.5353396,0.092556745,8.330817694999999,2110.0623,76.57762792,2,3209.0,0.2695015889
Burundi,BDI,0.20041312,4.705153,3.6385643,0.5794055,0.071074806,9.194610726,729.65845,462.41581,1,2373.4,0.05957133899
Cameroon,CMR,0.21315666,4.6046395,3.1999922,0.5344366,0.112020984,8.664245944000001,3756.5095,54.54156036,1,2165.125,0.3706917072
Canada,CAN,0.28864193,3.2904658,4.3206058,0.8052512,0.4285759,9.13354063,49171.51,4.193949311,3,2028.0444444444447,15.05274694
Central African Republic,CAF,0.1913885,5.9238467,4.405564,0.5299282,0.07151896,11.122246360000002,861.7668,8.361944204,1,2546.5,0.04518820484
Chad,TCD,0.21059208,5.1334114,3.3696513,0.53775066,0.09834646,9.3497519,1561.9967,12.80723158,1,3353.2,0.09819638856
Chile,CHL,0.3177609,3.6435125,5.4619493,0.9951639,0.35876754,10.77715414,24816.611,25.60681316,2,2841.7799999999997,4.827620075
China,CHN,0.30997753,2.7240157,3.1641822,0.18180744,0.11261842,6.49260129,15977.764,149.9481797,0,2028.5800000000002,7.645435786
Colombia,COL,0.2798771,2.2196279,4.701662,0.7398617,0.22084343,8.161872129999999,14616.135,45.23425507,2,1930.7749999999999,1.577820141
Croatia,HRV,0.29412583,3.0076077,3.5950115,0.5449874,0.169517,7.61124943,29352.79,72.64050104,2,2272.0,4.064519478
Cyprus,CYP,0.27398312,3.1127021,6.4671764,0.9104203,0.40809122,11.17237314,41746.918,132.9909091,3,3314.1,5.851879339
