Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9829748217,0.9422116407,0.9079359312,0.9095498114,0.9134132259,0.9330006197,0.943199917,0.9622028626,0.9631566995,0.9021341564,0.8913520581,0.9588828061,0.9615534069,0.9880829515,1.032475586,1.008065279,0.9964232943,1.013248627,1.053662958,0.9907341798,1.017488422,0.9768404165,0.9895846702,1.00115404,1.013757999,0.9604298356,0.9413373187,0.9338738604,0.9214534374,0.9152939976,0.7954199084,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1913893449,0.1806737857,0.1265169792,0.1091056973,0.0966377461,0.08878115675,0.08226651768,0.07555869785,0.07126970164,0.05824684171,0.05516660661,0.05529271917,0.06681013793,0.0730049684,0.05486675873,0.08036113437,0.08975690863,0.109940042,0.1655733549,0.2395069005,0.3042302159,0.4089652909,0.3350610354,0.2980878127,0.2836923959,0.2979717747,0.2683587727,0.2811958157,0.2990826342,0.2975636505,0.223478872,,
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4701112694,0.5210841726,0.5580133903,0.5138589888,0.4623843808,0.4926561642,0.5543047105,0.5400619778,0.5067093957,0.5029054025,0.5216885977,0.5335523461,0.4865957541,0.5057905126,0.4970744767,0.4907338753,0.4528127308,0.4268423571,0.436976622,0.4097951062,0.4478165775,0.4515780904,0.452100782,0.4816231074,0.4935048693,0.4755767493,0.4797751091,0.4651656141,0.4758170128,0.490837275,0.4631502733,,
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5549413212,0.545806579,0.5444129182,0.7109608867,0.8392663782,0.9142645695,1.073630274,1.086325156,1.091172539,1.109791073,0.9884164157,0.9418184967,0.8957168015,0.924988063,0.9298110795,0.8128750875,0.8212638017,0.8114135058,0.8886098449,0.9394573602,0.9759167718,0.9837870811,0.9475831073,1.031043636,1.091497057,1.125185364,1.012552124,0.8297232168,0.7558276195,0.7536382054,0.5927429678,,
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.844035463,1.26105443,0.6896437031,0.6440084195,0.6499381457,0.612055271,0.6212056503,0.4698309967,0.5768044417,0.9602969398,1.031567545,1.056868354,1.233001531,1.361158778,1.427944204,1.360092207,1.363988602,1.433796507,1.428249586,1.492116704,1.64276193,1.768108509,1.565921402,1.656389503,1.795712442,1.665218525,1.590069333,1.880557113,1.85464154,1.749462457,1.544550115,,
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.592152178,7.336724754,7.099907477,6.937047806,6.663237053,6.754131706,7.08273185,7.194088,7.531924033,7.812961694,7.927016355,7.725626659,7.498764979,7.238069466,7.286756008,7.206273645,6.805400082,6.890389929,7.081822365,6.995396198,7.223590934,6.957586407,6.86229282,6.674233189,6.445930663,6.485769241,6.465288117,6.302097864,6.59405703,6.287203804,5.777147992,,
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.799502284,2.749432245,2.911979,3.05282055,3.149925996,3.167199621,3.202337188,3.280784693,3.22404742,3.194447588,3.253567467,3.357638217,3.396585112,3.424829362,3.532319095,3.687724279,3.787710894,3.84041875,4.041063006,4.068963119,4.208452772,4.209483864,4.40120853,4.386230744,4.439510778,4.450524609,4.402999306,4.350683678,4.222333042,4.181158003,3.929077744,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05579609,30.65356558,28.211854,28.61541755,30.39024072,30.8821161,30.52327581,29.65672646,28.56757488,27.6603898,25.86885059,28.1386591,27.28555683,27.22487264,27.54777393,27.2025439,24.81397049,22.44850002,22.328149,19.64553907,19.19279594,19.43178035,20.27565246,21.13391608,21.12277445,21.91450189,22.28070271,21.16549791,19.06094953,20.15334483,20.25227168,,
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.073563154,3.199038186,3.214972108,3.240242229,3.244828392,3.230308037,3.462789185,3.521297803,3.661556758,3.669601022,3.56791849,3.341877067,3.100488668,3.334890879,3.65608487,3.736716865,3.924261841,4.083151439,4.15237521,3.848348227,4.09984414,4.281028145,4.264111002,4.34225013,4.209111895,4.301913806,4.201815869,4.070111687,3.975650744,3.742029812,3.40561754,,
